case_id,split,seed,turns,voltage_v,velocity_um_s,correct_fraction,live_recovery,dead_removal,live_purity,dead_outlet_purity,wall_loss,live_lost,dead_lost
turns_4.5_voltage_7_velocity_800um_s,validation,103,4.5,7.0,800.0,0.34444444444444444,0.12777777777777777,0.5611111111111111,0.26744186046511625,0.5343915343915344,0.2361111111111111,69,16
turns_4.5_voltage_7_velocity_800um_s,validation,107,4.5,7.0,800.0,0.3638888888888889,0.2,0.5277777777777778,0.34615384615384615,0.5654761904761905,0.24444444444444444,71,17
turns_4.5_voltage_7_velocity_1200um_s,design,7,4.5,7.0,1200.0,0.4111111111111111,0.2611111111111111,0.5611111111111111,0.4392523364485981,0.5771428571428572,0.21666666666666667,59,19
turns_4.5_voltage_7_velocity_1200um_s,design,11,4.5,7.0,1200.0,0.3972222222222222,0.20555555555555555,0.5888888888888889,0.37373737373737376,0.5221674876847291,0.16111111111111112,46,12
turns_4.5_voltage_7_velocity_1200um_s,design,13,4.5,7.0,1200.0,0.36666666666666664,0.17222222222222222,0.5611111111111111,0.31958762886597936,0.48325358851674644,0.15,41,13
turns_4.5_voltage_7_velocity_1200um_s,validation,101,4.5,7.0,1200.0,0.3972222222222222,0.25,0.5444444444444444,0.4017857142857143,0.532608695652174,0.17777777777777778,49,15
turns_4.5_voltage_7_velocity_1200um_s,validation,103,4.5,7.0,1200.0,0.36944444444444446,0.18333333333333332,0.5555555555555556,0.3235294117647059,0.5263157894736842,0.18888888888888888,57,11
turns_4.5_voltage_7_velocity_1200um_s,validation,107,4.5,7.0,1200.0,0.38055555555555554,0.17222222222222222,0.5888888888888889,0.33695652173913043,0.53,0.18888888888888888,55,13
turns_4.5_voltage_7_velocity_1800um_s,design,7,4.5,7.0,1800.0,0.425,0.21666666666666667,0.6333333333333333,0.40625,0.5454545454545454,0.1527777777777778,46,9
turns_4.5_voltage_7_velocity_1800um_s,design,11,4.5,7.0,1800.0,0.38333333333333336,0.2111111111111111,0.5555555555555556,0.36893203883495146,0.5025125628140703,0.16111111111111112,43,15
turns_4.5_voltage_7_velocity_1800um_s,design,13,4.5,7.0,1800.0,0.4083333333333333,0.2722222222222222,0.5444444444444444,0.44954128440366975,0.5384615384615384,0.19166666666666668,47,22
turns_4.5_voltage_7_velocity_1800um_s,validation,101,4.5,7.0,1800.0,0.4166666666666667,0.2388888888888889,0.5944444444444444,0.4215686274509804,0.5245098039215687,0.15,40,14
turns_4.5_voltage_7_velocity_1800um_s,validation,103,4.5,7.0,1800.0,0.4361111111111111,0.2611111111111111,0.6111111111111112,0.4895833333333333,0.5555555555555556,0.18333333333333332,45,21
turns_4.5_voltage_7_velocity_1800um_s,validation,107,4.5,7.0,1800.0,0.41944444444444445,0.25,0.5888888888888889,0.4368932038834951,0.5047619047619047,0.13055555555555556,31,16
turns_4.5_voltage_7_velocity_2600um_s,design,7,4.5,7.0,2600.0,0.4361111111111111,0.32222222222222224,0.55,0.47540983606557374,0.526595744680851,0.1388888888888889,33,17
turns_4.5_voltage_7_velocity_2600um_s,design,11,4.5,7.0,2600.0,0.4222222222222222,0.26666666666666666,0.5777777777777777,0.4528301886792453,0.4928909952606635,0.11944444444444445,25,18
turns_4.5_voltage_7_velocity_2600um_s,design,13,4.5,7.0,2600.0,0.4777777777777778,0.35555555555555557,0.6,0.5289256198347108,0.5510204081632653,0.11944444444444445,28,15
turns_4.5_voltage_7_velocity_2600um_s,validation,101,4.5,7.0,2600.0,0.4361111111111111,0.28888888888888886,0.5833333333333334,0.48148148148148145,0.525,0.14444444444444443,33,19
turns_4.5_voltage_7_velocity_2600um_s,validation,103,4.5,7.0,2600.0,0.44722222222222224,0.3055555555555556,0.5888888888888889,0.4824561403508772,0.5326633165829145,0.13055555555555556,32,15
turns_4.5_voltage_7_velocity_2600um_s,validation,107,4.5,7.0,2600.0,0.45,0.3333333333333333,0.5666666666666667,0.5128205128205128,0.5483870967741935,0.15833333333333333,36,21
turns_4.5_voltage_9_velocity_800um_s,design,7,4.5,9.0,800.0,0.3416666666666667,0.1111111111111111,0.5722222222222222,0.25,0.5953757225433526,0.2972222222222222,90,17
