family,sample_id,note,frequency_hz,voltage_v,velocity_um_s,turns,inner_radius_um,pitch_um,channel_width_um,outlet_split_ratio,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,dep_sign,dean_scale,target_correct,wall_loss,distribution_gap_um,live_recovery,dead_removal,live_outlet_purity,dead_outlet_purity,length_mm,footprint_mm2,residence_s,flow_uL_min,pressure_drop_kPa,reynolds,electric_field_kV_m,active_joule_power_mW,adiabatic_delta_c_proxy,steady_substrate_delta_c_proxy,min_bend_radius_um,thermal_risk,v7_score
same_length_serpentine,85,Same-length packed serpentine with no spiral Dean contribution.,1388555.0612704507,22.07078554307986,2018.6216753405495,8.721938367824173,1594.1551154281449,241.3925827943573,172.48414423925448,0.3555152519014947,-0.6667339677033094,0.21969748249914042,0.5494804256600879,0.8160364701100616,-1.0,0.0,0.8428571428571429,0.09285714285714286,44.45925188772913,0.8571428571428571,0.8285714285714286,1.0,0.8656716417910447,145.0682546183106,20.261875917111126,71.86500392345039,1.0445406966417747,1.7196792908282326,0.15602715991481222,127.95834446362359,10.920620726610847,150.52262008308543,2.6948691155956586,1507.9130433085177,moderate,0.5482056680679425
stepwise_late_dep_spiral,120,Stepwise/multi-stage-inspired late DEP activation.,1388555.0612704507,21.73937532379568,2318.2247095779267,6.1397495566918785,737.9981235209523,206.63775703965825,197.27856907718953,0.3555152519014947,-0.5207816026588177,0.3304057902511586,0.5808557397590689,0.9995922826034322,-1.0,0.85,0.5428571428571428,0.0,10.110046543636837,0.38571428571428573,0.7,0.5625,0.532608695652174,52.95785022439897,13.924992473879907,22.844140175712678,1.37200816051475,0.7012593058381347,0.18439286794888798,110.19633518980805,5.312334607382599,55.745336050885705,1.9074820389839782,639.3588389823575,low,0.5428571428571428
long_low_voltage_spiral,140,Longer path intended to reduce field intensity need.,1388555.0612704507,23.36760087835364,2494.685025255236,8.709912688247222,1067.2461903171315,222.81358598999,236.80933827373613,0.3555152519014947,-0.5829277276514759,0.3542373645549844,0.5102681274922584,0.8524711429275619,-1.0,0.55,0.5928571428571429,0.0,15.315417515778783,0.32857142857142857,0.8571428571428571,0.696969696969697,0.5607476635514018,111.52749094956826,30.705887827155475,44.706040971307665,1.7722941300962733,1.5403840407161475,0.20536026457403894,98.67685560331334,8.800253695986617,71.48899693352982,1.4329912467477823,948.8415211802635,low,0.5392705904506131
short_serpentine,90,Shorter packed straight/serpentine control.,1388555.0612704507,22.451426093041206,2459.6769046370628,4.8,650.0,230.0,170.0,0.3555152519014947,-0.624924223339343,0.3086177086375571,0.35,0.88,-1.0,0.0,0.6071428571428571,0.007142857142857143,19.562934549983304,0.22857142857142856,0.9857142857142858,1.0,0.5609756097560976,36.269628571999256,4.462339630820839,14.745688144496773,1.2544352213649022,0.5256075037867283,0.18949574480315265,132.0672123120071,5.69977773724592,65.41682947911781,6.386535101315738,565.0,moderate,0.5389285714285714
v6_balanced_spiral,6,Current V6 selected candidate.,1388555.0612704507,21.801682133122114,2969.1431312971717,9.5,1369.4024525305472,234.4788321119583,203.6406669884783,0.3555152519014947,-0.6492473946996171,0.38327852439407484,0.5856151640753183,0.7910592085598916,-1.0,0.4240246081708122,0.6357142857142857,0.0,16.75464170538434,0.45714285714285713,0.8142857142857143,0.7111111111111111,0.6,148.23949409716846,42.97985270522691,49.92669182384783,1.8139148629248454,2.499293874661808,0.23766865934242076,107.05956946387148,7.108418301307085,56.420364463494415,0.8269477271198986,1267.5821190363079,low,0.5375847538813455
wide_low_heat_spiral,53,Wider channel to reduce electric field and heating.,1388555.0612704507,24.0,2076.0191512933347,5.685174425804425,885.8021705568208,212.89209939697335,260.0,0.3555152519014947,-0.5775568428434159,0.34089397420793466,0.38645611195591856,1.0,-1.0,0.55,0.5357142857142857,0.0,13.268433912494487,0.14285714285714285,0.9285714285714286,0.6666666666666666,0.52,53.2734120381488,15.568661082502048,25.661329764207668,1.619294938008801,0.6040463295848154,0.17359538206395425,92.3076923076923,7.241112299356103,64.38121002603272,2.3255411178211545,755.8021705568208,low,0.5357142857142857
stepwise_late_dep_spiral,115,Stepwise/multi-stage-inspired late DEP activation.,1388555.0612704507,21.431285457877934,2844.2478694222427,5.38190236011785,853.1041268724413,215.09525136180102,202.21178732206934,0.3555152519014947,-0.6391752089988513,0.4383254736553567,0.5174443340798411,0.9528834513816559,-1.0,0.85,0.5357142857142857,0.0,7.437987046571344,0.2714285714285714,0.8,0.5757575757575758,0.5233644859813084,48.43557788857082,14.010978483674212,17.029309719904838,1.7254213357885781,0.7832783505923545,0.2273545697508703,105.98435304735041,4.790511651080183,39.972981910026256,1.7095564227231357,751.9982332114066,low,0.5357142857142857
short_serpentine,107,Shorter packed straight/serpentine control.,1388555.0612704507,23.47277103702542,2290.5757250914758,5.232964822899996,664.9806579222626,192.90117821700647,193.12450613671518,0.3555152519014947,-0.5568818945301846,0.3307669152113804,0.3105603236402994,0.878377956358316,-1.0,0.0,0.5928571428571429,0.0,18.292398647935812,0.21428571428571427,0.9714285714285714,0.8823529411764706,0.5528455284552846,38.473648163444075,4.138380276623787,16.796496942666067,1.3270989170311183,0.5054514371106926,0.18140466947087625,121.54216731256655,6.232518591684952,67.61454007044036,7.530142441102133,568.4184048539049,moderate,0.5328571428571429
long_low_voltage_spiral,139,Longer path intended to reduce field intensity need.,1388555.0612704507,20.9850357367426,2868.613982414411,9.5,1026.2099860362107,261.50798023928377,222.38391194823532,0.3555152519014947,-0.5278274743027165,0.2876253028230676,0.5186533788623094,0.9408949812716111,-1.0,0.55,0.6714285714285714,0.0,20.36479009904918,0.6285714285714286,0.7142857142857143,0.6875,0.6578947368421053,135.4253590730305,41.207994144969575,47.209335206212636,1.9138007978361695,2.1724379606092747,0.23350123505156137,94.36400121258467,11.32340595444616,85.18441719581503,1.3739331638674839,915.0180300620931,moderate,0.530189209546222
short_smooth_spiral,22,Shorter smooth Archimedean spiral.,1388555.0612704507,19.800363082752316,2875.05598080897,4.294106431263946,640.63684185177,186.80059880769565,183.86006897844595,0.3555152519014947,-0.592886413669405,0.3484956236588316,0.41461862906855285,0.8394666823302528,-1.0,0.65,0.5285714285714286,0.0,6.120617300333727,0.14285714285714285,0.9142857142857143,0.625,0.5161290322580645,28.11803235520383,7.399488270256679,9.779994735021509,1.5858239728452925,0.4682617966987651,0.2253579113688534,107.69256855371641,2.5472844728036055,23.12609364165674,1.721257186826545,548.7068073625471,low,0.5285714285714286
