case_id,split,seed,turns,voltage_v,velocity_um_s,particles_total,correct_fraction,live_recovery,dead_removal,live_purity,dead_outlet_purity,wall_loss,live_inner,live_outer,live_lost,dead_inner,dead_outer,dead_lost,mean_live_re_cm,mean_dead_re_cm,mean_live_radius_um,mean_dead_radius_um
turns_6_voltage_8_velocity_2000um_s,validation,101,6.0,8.0,2000.0,300,0.39666666666666667,0.25333333333333335,0.54,0.4175824175824176,0.5294117647058824,0.18666666666666668,38,72,40,53,81,16,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_6_voltage_8_velocity_2000um_s,validation,103,6.0,8.0,2000.0,300,0.36333333333333334,0.24,0.4866666666666667,0.37894736842105264,0.5407407407407407,0.23333333333333334,36,62,52,59,73,18,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
turns_6_voltage_8_velocity_2000um_s,validation,107,6.0,8.0,2000.0,300,0.37,0.24,0.5,0.3956043956043956,0.539568345323741,0.23333333333333334,36,64,50,55,75,20,0.9755403523015771,0.009102586225129865,11.468732386463369,11.060191361432379
turns_6_voltage_8_velocity_3000um_s,design,7,6.0,8.0,3000.0,300,0.4033333333333333,0.35333333333333333,0.4533333333333333,0.4774774774774775,0.48226950354609927,0.16,53,73,24,58,68,24,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_6_voltage_8_velocity_3000um_s,design,11,6.0,8.0,3000.0,300,0.42333333333333334,0.31333333333333335,0.5333333333333333,0.4519230769230769,0.5194805194805194,0.14,47,74,29,57,80,13,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_6_voltage_8_velocity_3000um_s,design,13,6.0,8.0,3000.0,300,0.43666666666666665,0.36666666666666664,0.5066666666666667,0.5,0.5352112676056338,0.16,55,66,29,55,76,19,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
turns_6_voltage_8_velocity_3000um_s,validation,101,6.0,8.0,3000.0,300,0.4166666666666667,0.28,0.5533333333333333,0.45161290322580644,0.532051282051282,0.17,42,73,35,51,83,16,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_6_voltage_8_velocity_3000um_s,validation,103,6.0,8.0,3000.0,300,0.38333333333333336,0.26,0.5066666666666667,0.41935483870967744,0.5170068027210885,0.2,39,71,40,54,76,20,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
turns_6_voltage_8_velocity_3000um_s,validation,107,6.0,8.0,3000.0,300,0.38,0.25333333333333335,0.5066666666666667,0.4222222222222222,0.5241379310344828,0.21666666666666667,38,69,43,52,76,22,0.9755403523015771,0.009102586225129865,11.468732386463369,11.060191361432379
turns_6_voltage_9_velocity_800um_s,design,7,6.0,9.0,800.0,300,0.32666666666666666,0.17333333333333334,0.48,0.2988505747126437,0.6923076923076923,0.36333333333333334,26,32,92,61,72,17,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_6_voltage_9_velocity_800um_s,design,11,6.0,9.0,800.0,300,0.35,0.18,0.52,0.3068181818181818,0.7428571428571429,0.3566666666666667,27,27,96,61,78,11,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_6_voltage_9_velocity_800um_s,design,13,6.0,9.0,800.0,300,0.37,0.21333333333333335,0.5266666666666666,0.36363636363636365,0.7383177570093458,0.35,32,28,90,56,79,15,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
turns_6_voltage_9_velocity_800um_s,validation,101,6.0,9.0,800.0,300,0.35333333333333333,0.18,0.5266666666666666,0.313953488372093,0.7247706422018348,0.35,27,30,93,59,79,12,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_6_voltage_9_velocity_800um_s,validation,103,6.0,9.0,800.0,300,0.33,0.13333333333333333,0.5266666666666666,0.25316455696202533,0.7523809523809524,0.38666666666666666,20,26,104,59,79,12,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
turns_6_voltage_9_velocity_800um_s,validation,107,6.0,9.0,800.0,300,0.31,0.15333333333333332,0.4666666666666667,0.2804878048780488,0.693069306930693,0.39,23,31,96,59,70,21,0.9755403523015771,0.009102586225129865,11.468732386463369,11.060191361432379
turns_6_voltage_9_velocity_1000um_s,design,7,6.0,9.0,1000.0,300,0.34,0.2,0.48,0.32608695652173914,0.6260869565217392,0.31,30,43,77,62,72,16,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_6_voltage_9_velocity_1000um_s,design,11,6.0,9.0,1000.0,300,0.36,0.18,0.54,0.313953488372093,0.6694214876033058,0.31,27,40,83,59,81,10,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_6_voltage_9_velocity_1000um_s,design,13,6.0,9.0,1000.0,300,0.37666666666666665,0.22666666666666666,0.5266666666666666,0.37777777777777777,0.6869565217391305,0.31666666666666665,34,36,80,56,79,15,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
turns_6_voltage_9_velocity_1000um_s,validation,101,6.0,9.0,1000.0,300,0.3466666666666667,0.17333333333333334,0.52,0.3023255813953488,0.6341463414634146,0.30333333333333334,26,45,79,60,78,12,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_6_voltage_9_velocity_1000um_s,validation,103,6.0,9.0,1000.0,300,0.3466666666666667,0.18,0.5133333333333333,0.3103448275862069,0.6637931034482759,0.3233333333333333,27,39,84,60,77,13,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
