sample_id,family,equation,shape_class,inlet_kind,mean_target_correct,std_target_correct,mean_wall_loss,mean_live_recovery,mean_dead_removal,mean_live_outlet_purity,mean_dead_outlet_purity,length_mm,footprint_mm2,residence_s,flow_uL_min,active_joule_power_mW,steady_substrate_delta_c_proxy,thermal_risk,manufacturable_gap_ok,manufacturable_bend_ok,manufacturable_no_intersection_ok,self_intersects,channel_overlap_flag,min_nonlocal_clearance_um,min_curvature_radius_um,short_channel_score,v11_score
1,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.5111111111111111,0.0,0.0,0.022222222222222223,1.0,1.0,0.5056179775280899,8.542401440624545,4.397628403011518,5.456453659424847,0.44996497264026486,9.437639061936771,10.730373507086034,moderate,True,True,True,False,False,139.07986480201123,874.5052815329852,0.0013007011188060867,0.48062162789320234
19,elliptic_prefocus_spiral,"straight inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_inlet,straight_prefocus,0.5,0.0,0.0,1.0,0.0,0.5,0.0,4.984137944687743,2.8571317862348704,1.1552030984849295,1.5476668087447014,4.7099342869065275,8.24241693995026,moderate,True,True,True,False,False,134.2897017312755,376.2493538041763,0.0,0.45
37,superellipse_oval_spiral,"x=r sign(cos(theta))|cos(theta)|^q, y=e r sign(sin(theta))|sin(theta)|^q",superellipse_oval,rounded_oval_entry,0.5,0.0,0.0,1.0,0.0,0.5,0.0,5.76409630235792,3.5020512317166097,3.4048582245088435,0.6127144290289253,6.888973795193326,9.83562680751609,moderate,True,True,True,False,False,166.70146242189807,556.9644620085423,0.0,0.45
42,logarithmic_spiral_short,r(theta)=a exp(k theta),logarithmic_spiral,tangential,0.5,0.0,0.0,1.0,0.0,0.5,0.0,3.9922931089878215,2.374051249598047,3.24622627893648,0.45502552709266997,3.0825441065601638,6.492159988294424,moderate,True,True,True,False,False,146.65025681769137,693.046148934791,0.0,0.45
47,logarithmic_spiral_short,r(theta)=a exp(k theta),logarithmic_spiral,tangential,0.5,0.0,0.0,1.0,0.0,0.5,0.0,5.617386287115049,3.6456335121089953,2.650993956853213,0.6389925603213711,8.362230827780243,11.468830863010556,moderate,True,True,True,False,False,216.64813088300195,885.8842928130191,0.0,0.45
58,elliptic_logarithmic_spiral,"x=a exp(k theta) cos(theta), y=e a exp(k theta) sin(theta)",elliptic_logarithmic_spiral,major_axis_prefocus,0.5,0.0,0.0,1.0,0.0,0.5,0.0,3.975565618522832,2.2162109156581793,0.9531636517222357,1.2561551781330498,2.7135398341789716,6.12202524364224,moderate,True,True,True,False,False,122.49717541094779,412.6760730543804,0.0,0.45
91,fermat_spiral_short,r(theta)=a sqrt(1+k theta),fermat_spiral,tangential,0.5,0.0,0.0,1.0,0.0,0.5,0.0,10.996242695037253,6.055392192490727,5.088923817920378,0.937123677239015,9.162113373538977,7.565251830344602,moderate,True,True,True,False,False,173.6353110258027,826.0435047348954,0.0,0.45
104,elliptic_s_bend_prefocus_spiral,"S-bend inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_s_bend,s_bend_prefocus,0.5,0.0,0.0,1.0,0.0,0.5,0.0,4.234211011375819,2.4880143649975834,0.8171412290431245,1.4048393285521554,3.775857497676468,7.58809424655419,moderate,True,True,True,False,False,100.15187436490487,263.6433405496335,0.0,0.45
112,short_circular_c_arc,"partial circular spiral arc r(theta)=a+b theta, theta<1.2 turns",short_c_arc,dual_side_electrode_entry,0.5,0.0,0.0,1.0,0.0,0.5,0.0,4.677390941914517,2.667667412497132,1.911045496973585,0.8007749481919465,5.853994387807038,10.972121862686159,moderate,True,True,True,False,False,171.59169405715306,740.413139576662,0.0,0.45
120,short_circular_c_arc,"partial circular spiral arc r(theta)=a+b theta, theta<1.2 turns",short_c_arc,dual_side_electrode_entry,0.5,0.0,0.0,1.0,0.0,0.5,0.0,6.9648082958151605,5.728735632481367,1.5584281594483531,1.4925755590916803,7.738157388840053,6.753809117116054,moderate,True,True,True,False,False,249.36197601949306,1098.578503619544,0.0,0.45
142,elliptic_s_bend_prefocus_spiral,"S-bend inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_s_bend,s_bend_prefocus,0.5,0.0,0.0,1.0,0.0,0.5,0.0,5.474401271134148,3.620488060163635,4.733005854122147,0.38028622927450345,5.588032053497062,7.717235854168927,moderate,True,True,True,False,False,134.1674270386483,361.6580101674501,0.0,0.45
152,fermat_spiral_short,r(theta)=a sqrt(1+k theta),fermat_spiral,tangential,0.5,0.0,0.0,1.0,0.0,0.5,0.0,3.7802323492296974,1.7572103514325088,3.4838772756802245,0.3398908782823717,3.087320145041564,8.78471989003686,moderate,True,True,True,False,False,121.44382362941293,497.2360160032061,0.0,0.45
148,short_circular_c_arc,"partial circular spiral arc r(theta)=a+b theta, theta<1.2 turns",short_c_arc,dual_side_electrode_entry,0.5,0.0,0.0,1.0,0.0,0.5,0.0,5.466342190091399,5.298011366629309,2.1619826040185215,0.6835736898210282,10.837633987035959,10.228020701596813,moderate,True,True,True,False,False,205.15885273498822,1137.5149538486935,0.0,0.4466494640518562
75,fermat_spiral_short,r(theta)=a sqrt(1+k theta),fermat_spiral,tangential,0.5,0.0,0.0,1.0,0.0,0.5,0.0,11.652041004544415,6.387634454946852,6.681534955834849,0.6320261209271646,12.342309914233606,9.661095982625621,moderate,True,True,True,False,False,144.48634008415405,871.5428261275235,0.0,0.4406307603430656
67,elliptic_logarithmic_spiral,"x=a exp(k theta) cos(theta), y=e a exp(k theta) sin(theta)",elliptic_logarithmic_spiral,major_axis_prefocus,0.5444444444444444,0.0,0.0,0.6444444444444445,0.4444444444444444,0.5370370370370371,0.5555555555555556,4.566944102579388,3.0523407167276897,1.1398875211832211,1.7400766365301121,0.6484261483977348,1.062178519003754,low,True,True,False,False,True,121.0471725013709,335.6750607492442,0.0097317688691093,0.4404209774810839
52,logarithmic_spiral_short,r(theta)=a exp(k theta),logarithmic_spiral,tangential,0.5333333333333333,0.0,0.0,0.6888888888888889,0.37777777777777777,0.5254237288135594,0.5483870967741935,3.649631667172699,1.8508941890765236,1.5989940696632725,0.930671576413132,0.8085683737277314,2.1842641748504126,low,True,True,False,False,True,131.14387981863862,589.7223665241677,0.009133341765185864,0.42033345981112125
41,logarithmic_spiral_short,r(theta)=a exp(k theta),logarithmic_spiral,tangential,0.5333333333333333,0.0,0.0,0.6,0.4666666666666667,0.5294117647058824,0.5384615384615384,3.7438805406961473,1.8101435794020158,0.7207772548717215,1.9355312415294663,1.8949360295135158,5.234214708370016,low,True,True,False,False,True,129.3530141652912,566.0342825271504,0.008903417983292607,0.41688460308272246
117,short_circular_c_arc,"partial circular spiral arc r(theta)=a+b theta, theta<1.2 turns",short_c_arc,dual_side_electrode_entry,0.5444444444444444,0.0,0.0,0.26666666666666666,0.8222222222222222,0.6,0.5285714285714286,4.172467636769043,3.5637856766183376,2.4664957208646365,0.7770441330908625,6.051533385284697,8.490316105410374,moderate,True,True,False,False,True,160.2103817632074,937.7041086453803,0.010651836829790255,0.4042219968912981
149,elliptic_s_bend_prefocus_spiral,"S-bend inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_s_bend,s_bend_prefocus,0.525,0.0,0.0125,0.0875,0.9625,0.7,0.5202702702702703,5.539557936592139,3.97337935859902,3.803197659618598,0.4050133343351959,21.521801236133935,27.082489857855332,high,True,True,True,False,False,136.04690362231656,373.00597617912854,0.0045129954928099705,0.3716077274476137
44,logarithmic_spiral_short,r(theta)=a exp(k theta),logarithmic_spiral,tangential,0.5222222222222223,0.0,0.0,0.9111111111111111,0.13333333333333333,0.5125,0.6,3.46888246949372,1.8985180482221506,0.7078441992417404,1.997295747603887,0.6568107134328142,1.7297984447603183,low,True,True,False,False,True,121.84776581665768,572.8317478899605,0.0064061617589095095,0.36831464860586494
97,elliptic_s_bend_prefocus_spiral,"S-bend inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_s_bend,s_bend_prefocus,0.5666666666666667,0.0,0.0,0.4888888888888889,0.6444444444444445,0.5789473684210527,0.5576923076923077,4.68467453297544,3.1650395147095685,1.2837525468090212,1.2075891027686245,11.221768777814242,17.727691432699185,high,True,True,False,False,True,116.90500959945446,433.816065133727,0.014230800068905482,0.3652415925889919
