frequency_hz,voltage_v,velocity_m_s,turns,inner_radius_m,pitch_m,channel_width_m,outlet_split_ratio,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,dean_scale,dep_sign,predicted_score
3588338.766493538,20.426349844901335,0.0026185940984008926,3.17260689572671,0.0013909346519755442,8.392798263406045e-05,0.0001817357907774281,0.4521061959802052,-0.6117801053067016,0.1348334039498795,0.7049592381862988,0.8109453053087664,0.3527139117269371,-0.9016347019491049,0.670661738495706
1179331.457842293,9.648731720946792,0.0014683732455002708,1.5764019911092026,0.0015091632377495232,0.00030582650258025143,0.0001745275826022384,0.2576004532308512,-0.6769974192248893,0.6813730246853467,0.17376789136397078,0.2789965458145832,0.16530018523869858,-0.7150363073350379,0.6699888112103096
2314329.596328862,8.140684388405438,0.0016717843698217329,3.940848920884848,0.0010736194245999312,0.0001925581481387667,0.0002126509381564431,0.3388396811988285,-0.5469318263773637,0.2226835882535253,0.3767473628508261,0.706159865009132,0.04177639765148944,-0.6041801317885775,0.6684906994421017
2165626.1880556,21.93864590842081,0.0078016615692894885,1.9986143249395678,0.0015126950928108182,0.00020584105935926865,0.00023632214524400846,0.2591075064947414,-0.488413071110083,0.5281938815618533,0.6730768797214693,0.5165973768218375,0.06793683808693088,-0.6993093783761819,0.6674449244841842
4678986.428734785,18.049362734912688,0.006805224462890048,2.213057453526381,0.0017169850530793502,0.00027768380686330743,0.00015957159224103378,0.3630341183960871,-0.5487194930291512,0.19457367592121944,0.43903736608833366,0.25032698120455554,0.9664916279430366,-0.8695070930545843,0.6673013156868832
342153.6104343869,11.972155244268075,0.0031643663927268576,6.29940444704674,0.0018007376150341332,0.000275792507206926,0.00012477100898841746,0.42337446394612416,-0.7195302301023931,0.12241631808592456,0.6570384328558854,0.2915564002172138,0.27507760809581583,-0.5473963728356688,0.6660009042785155
3741853.390190793,15.884040793496293,0.00372996597843701,5.930506266000334,0.0018761411680679042,0.00044364058830827365,0.0001451555079679712,0.2831271624039246,-0.737726288314042,0.8484275787957994,0.3450221228599381,0.26048325067123446,0.8132612263310682,-0.6424870805843181,0.6656257257863739
3245197.391148575,21.95653077521706,0.004380150315139191,4.37018995537651,0.0011191640879814348,0.00031942460152184656,0.0002308338097292742,0.28119797151072506,-0.6244739102568859,0.4874763649130405,0.6274161255012047,0.8242856886553281,0.2443310495179481,-0.9449426563001075,0.6651400692043352
22322.348893124596,4.259647093154848,0.0016974257751775459,4.93996518478679,0.001685305793243792,0.00041689753724331885,0.00019435042421985394,0.27769046971900224,-0.5444530964717691,0.8211282797935014,0.2856399118989022,0.7554835801991453,0.19087994544368103,-0.8119052203593524,0.6647584294568869
1942001.7642086938,14.358785182318034,0.0006828767467857163,4.5873008816198,0.0021699660677991506,0.00024284638850157782,0.00022544375229165652,0.3586720245882241,-0.7123928899138228,0.5872569633774091,0.33313105741863397,0.8423673946922519,0.5909982584211022,-0.17994602857308872,0.6645094148054775
3114515.099718145,11.359239788794836,0.0022084051292926266,7.1125998879561365,0.0008688367223423325,0.00014623216992537872,0.00020494407827005898,0.26382635978391616,-0.635014752737967,0.6850655743524694,0.4737363679375811,0.828014661753077,0.23731351952665403,-0.9874673006124282,0.6633183781733355
3733772.782300832,23.370833801263363,0.0019915837683115636,7.048636244411193,0.0021976410463963353,0.00025768296441664996,0.00016990893467171204,0.422984691943572,-0.7003574072586978,0.46107958980194624,0.39166086983290105,0.5861923589030416,0.17209989921693009,-0.7300949271817674,0.6624231155359813
913742.9573486961,17.28751441189168,0.0006529689381680921,7.273537099725619,0.002091809018441596,0.00030895253921710383,0.000165281892961814,0.390434255364017,-0.695358534803584,0.5759426435223061,0.38103479547651276,0.8509335610389406,0.30567942693699496,-0.13058149420721787,0.6620752313442209
3113736.8190192333,22.100435607105737,0.002065840880260791,4.931299411764533,0.001670156303887288,0.00011000308016136792,0.00017203374656706084,0.2759646403384607,-0.6195249918077939,0.364440638585775,0.7363753140111713,0.5380536351185032,1.3142651471226436,-0.4903573620640378,0.6611640117044584
394242.5537779451,6.962430010222488,0.0044410765245767375,2.5425408037549326,0.000686836121427721,0.0004063366655533299,0.00017338685474698604,0.35028005893441755,-0.687344362903032,0.14637280196261923,0.6201585777260366,0.7149222981989349,0.8423202980497992,-0.8354075046678069,0.6604013927277864
